,Title,Author,Format-Year
109,Aprendamos sobre la expanción hacia el oeste con artes y manualidades (Learning About the Westwar...,"Collison, Campbell",eBook - 2020 | Spanish
110,E-learning en la formación profesional para el empleo,Isabel María Márquez Pérez,eBook - 2019 | Spanish
111,"Intelligence, Play & Learning (Dr. Brain)",no author,Streaming Video - 2019 | Spanish
112,¡Compartir es genial! (Learning to Share),"Rusu, Meredith",eBook - 2018 | Spanish
113,El Amor caminó entre nosotros,"Miller, Paul E.",eBook - 2015 | Spanish
114,Easy Learning Verbos ingleses,Collins,eBook - 2013 | Spanish
115,Easy Learning Vocabulario de inglés,Various Authors,eBook - 2013 | Spanish
116,Developmental Assignments,"McCauley, Cynthia D.",eBook - 2008 | Spanish
117,Cuentos para aprender a aprend (Stories to Learn about Learning),Jose Maria Doria,eAudiobook - 2006 | Spanish
118,Borat,no author,DVD - 2007
119,52 Weeks of Family Spanish,"McAree, Eileen",Book - 2012
120,Adiós a la inflamación,"Moñino, Sandra",Book - 2025 | Spanish
121,Puerto Rico,"Meléndez Badillo, Jorell A.",Book - 2024 | Spanish
122,Tu lugar en el universo,"Chin, Jason",Book - 2022 | Spanish
123,Complete Spanish Grammar Review,"Harvey, William C",Book - 2016
124,The Everything Essential Spanish Book,"Gutin, Julie",Book - 2013
125,Easy Spanish Step-by-step,"Bregstein, Barbara",Book - 2006
126,English for everyone,"Harding, Rachel",Book - 2016 | Spanish
127,52 maneras de cultivar las habilidades naturales de su hijo,"Luck, Kenneth L.",Book - 2011 | Spanish
128,Super dinosaurios,"Barker, Chris",Book - 2021 | Spanish
129,La vida secreta de los océanos,"French, Jess",Book - 2021 | Spanish
130,Inglés práctico,no author,Book - 2017 | Spanish
131,Embattled,no author,DVD - 2020
132,"Spanish Voices, Spanish and English in the Southeastern United States",no author,Streaming Video - 2011
133,Being... Spanish,no author,Streaming Video - 2011
134,Bebe feliz,"Knecht-Boyer, Anne",Book - 2004 | Spanish
135,I'm Too Big,"Morton, Lone",Picture Book - 1994
136,Conoce a Rubén Darío,"Ramírez, Sergio",Book - 2024 | Spanish
137,Cómo estimular día a día la inteligencia de tu hijo,"Laniado, Nessia",Book - 2007 | Spanish
138,"North Carolina's Mountains, Piedmont, & Coastal Plain in Spanish & English",no author,Book - 2005
139,100 Facts About the Function of the Human Body,Science-Based Language Learning Lab,eBook - 2025
140,A Hundred Reasons Why People Believe in Conspiracy Theories,Science-Based Language Learning Lab,eBook - 2024
141,100 Facts About Logical Reasoning,Science-Based Language Learning Lab,eBook - 2024
142,100 Facts About Basic First Aid,Science-Based Language Learning Lab,eBook - 2024
143,100 Facts About Mental Health,Science-Based Language Learning Lab,eBook - 2024
144,100 Facts About Nutrition,Science-Based Language Learning Lab,eBook - 2024
145,100 Facts About Fitness,Science-Based Language Learning Lab,eBook - 2024
146,100 Facts About Burning Fat While You Sleep,Science-Based Language Learning Lab,eBook - 2024
147,Learn Spanish: Can Do Spanish,SpanishPod101.com; Innovative Language Learning,eAudiobook - 2024
148,A Hundred Reasons Why Traveling Increases Cultural Awareness,Science-Based Language Learning Lab,eBook - 2024
149,100 Reasons Why Bicycles Make Life Better,Science-Based Language Learning Lab,eBook - 2024
150,Learn Spanish Bundle - Spanish for Beginners (Level 2),"Innovative Language Learning, LLC; SpanishPod101.com",eAudiobook - 2024
151,100 Facts About Anti Inflammatory Diet,Science-Based Language Learning Lab,eBook - 2024
152,100 Facts About Longevity,Science-Based Language Learning Lab,eBook - 2024
153,100 Facts About Artificial Intelligence,Science-Based Language Learning Lab,eBook - 2024
154,100 Facts About Cognitive Biases,Science-Based Language Learning Lab,eBook - 2024
155,100 Facts About Book Marketing,Science-Based Language Learning Lab,eBook - 2024
156,100 Facts About Positive Psychology,Science-Based Language Learning Lab,eBook - 2024
157,100 Facts About Real Estate Investment,Science-Based Language Learning Lab,eBook - 2024
158,100 Facts About Famous Literary Hoaxes and Forgeries,Science-Based Language Learning Lab,eBook - 2024
159,100 Facts About Socratic Questioning,Science-Based Language Learning Lab,eBook - 2024
160,100 Facts About the Life and Works of Nikola Tesla,Science-Based Language Learning Lab,eBook - 2024
161,100 Facts About Critical Thinking,Science-Based Language Learning Lab,eBook - 2024
162,100 Facts About Most Important Life Skills,Science-Based Language Learning Lab,eBook - 2024
163,100 Facts About Being an Informed Voter,Science-Based Language Learning Lab,eBook - 2024
164,100 Facts About the Science and Applications of Nanotechnology,Science-Based Language Learning Lab,eBook - 2024
165,A Hundred Reasons Why AI Can Make You Money,Science-Based Language Learning Lab,eBook - 2024
166,A Hundred Reasons Why Evolution Is True,Science-Based Language Learning Lab,eBook - 2024
167,100 Facts About Eating for Longevity,Science-Based Language Learning Lab,eBook - 2024
168,100 Facts About Marketing,Science-Based Language Learning Lab,eBook - 2024
169,100 Facts About Rucking,Science-Based Language Learning Lab,eBook - 2024
170,100 Facts About Website Promotion,Science-Based Language Learning Lab,eBook - 2024
171,100 Facts About the History and Evolution of Telecommunication Systems,Science-Based Language Learning Lab,eBook - 2024
172,100 Facts About General Relativity and Its Applications,Science-Based Language Learning Lab,eBook - 2024
173,100 Facts About Croatia,Science-Based Language Learning Lab,eBook - 2024
174,Learn Spanish Bundle - Spanish for Beginners (Level 2),"Innovative Language Learning, LLC; SpanishPod101.com",eAudiobook - 2024
175,1000 Common Conjugations,Science-Based Language Learning Lab,eBook - 2024
176,1000 Motivational Statements,Language Learning Lab,eBook - 2024
177,1000 Common Past Tense Verbs,Science-Based Language Learning Lab,eBook - 2024
178,1000 Common Verbs,Science-Based Language Learning Lab,eBook - 2024
179,1000 Common Words,Science-Based Language Learning Lab,eBook - 2024
180,1000 Common Nouns,Science-Based Language Learning Lab,eBook - 2024
181,1000 Common Future Tense Verbs,Science-Based Language Learning Lab,eBook - 2024
182,1000 Common Phrases,Science-Based Language Learning Lab,eBook - 2024
183,100 Facts About Having Great Sex,Science-Based Language Learning Lab,eBook - 2024
184,Learn Spanish in Your Car or While You Sleep: Master Most Common Spanish Phrases,Language Learning Masters,eAudiobook - 2023
185,Fun Spanish Short Stories: 5 Interesting Beginner Tales to Jumpstart Your Spanish & Improve Your Voc,Touri Language Learning,eBook - 2023
186,Conversational Phrases Spanish Audiobook,Innovative Language Learning; SpanishPod101.com,eAudiobook - 2023
187,100 Days of Real World Spanish: Vocabulary Words & Phrases for All Levels to Help You Become Flue,Touri Language Learning,eBook - 2022
188,Learn Spanish With Music,"Innovative Language Learning, LLC",eAudiobook - 2022
189,Learn Spanish: Discover Peruvian Culture & Traditions,"Innovative Language Learning, LLC",eAudiobook - 2022
190,El código del cancer,"Fung, Jason",Book - 2021 | Spanish
191,Learn Spanish While Sleeping,"Innovative Language Learning, LLC",eAudiobook - 2021
192,"Learn Spanish: Mexican Spanish Survival Phrases, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
193,Learn Spanish for Beginners,Pro Language Learning,eAudiobook - 2020
194,"Learn Spanish: Spanish Survival Phrases, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
195,"Learn Spanish: Level 3: Lower Beginner Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
196,"Learn Spanish - Level 2: Absolute Beginner Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
197,"Learn Spanish - Level 2: Absolute Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
198,Learn Spanish: Survival Phrases,"Innovative Language Learning, LLC",eAudiobook - 2020
199,"Learn Spanish - Level 7: Intermediate Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
200,"Learn Spanish: Level 3: Lower Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
201,"Learn Spanish - Level 6: Lower Intermediate Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
202,"Learn Spanish: Level 3: Lower Beginner Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
203,"Learn Spanish - Level 4: Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
204,"Learn Spanish - Level 2: Absolute Beginner Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
205,"Learn Spanish - Level 8: Upper Intermediate Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
206,"Learn Spanish - Level 9: Advanced Spanish, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
207,Learn Spanish in Your Car,Pro Language Learning,eAudiobook - 2020
208,"Learn Spanish: Spanish Survival Phrases, Volume 2","Innovative Language Learning, LLC",eAudiobook - 2020
209,"Learn Spanish - Level 5: Upper Beginner Spanish, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
210,"Learn Spanish: Spanish Survival Phrases, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
211,"Learn Spanish: Mexican Spanish Survival Phrases, Volume 1","Innovative Language Learning, LLC",eAudiobook - 2020
212,Learn Spanish for Kids,Pro Language Learning,eAudiobook - 2020
213,Intermediate Spanish Short Stories,Touri Language Learning,eBook - 2019
214,Spanish Language Lessons: Your Beginner's Guide to Learn Spanish Language While in Your Car or Wo,Language Learning Mastery,eBook - 2019
215,Spanish Short Stories for Beginners:10 Exciting Short Stories to Easily Learn Spanish & Improve Your,Touri Language Learning,eBook - 2019
216,Conversational Spanish Dialogues,Touri Language Learning,eBook - 2019
217,Learn Spanish Grammar: 25 Sentence Patterns for Beginners,"Innovative Language Learning, LLC",eAudiobook - 2019
218,Learn Spanish - Level 1: Introduction to Spanish,"Innovative Language Learning, LLC",eAudiobook - 2019
219,Learn Medical Spanish in 100 Days,Touri Language Learning,eBook - 2019
220,Everyday Spanish for Beginners - 400 Actions & Activities,"Innovative Language Learning, LLC",eAudiobook - 2018
221,Learn Spanish: Must-Know Spanish Slang Words & Phrases,"Innovative Language Learning, LLC",eAudiobook - 2018
222,Learn Spanish: The Ultimate Guide to Talking Online in Mexican Spanish,"Innovative Language Learning, LLC",eAudiobook - 2018
223,Learn Spanish: Must-Know Mexican Spanish Slang Words & Phrases,"Innovative Language Learning, LLC",eAudiobook - 2018
224,Top 25 Spanish Questions You Need to Know,"Innovative Language Learning, LLC",eAudiobook - 2017
225,Learn Spanish: Ultimate Getting Started With Spanish,"Innovative Language Learning, LLC",eAudiobook - 2017
226,3-Minute Mexican Spanish,"Innovative Language Learning, LLC",eAudiobook - 2017
227,"How to Play Guitar, Acoustic and Electric--learn to Play Like A Rock Hero",no author,Book - 2017
228,La guía visual,"Goodman, Pam",Book - 2015 | Spanish
229,¿Qué tal tu inglés?,no author,Book - 2015 | Spanish
230,Destrezas para el éxito escolar,"Greve, Meg",Book - 2015 | Spanish
231,Libera al Einstein que llevas dentro,"Gibson, Ken",Book - 2015 | Spanish
232,Los problemas con la tarea,"Goodman, Pam",Book - 2014 | Spanish
233,Libere et potencial de su hijo,"Goodman, Pam",Book - 2014 | Spanish
234,Cómo ser el mejor estudiante que puedas ser!,"Goodman, Pam",Book - 2014 | Spanish
235,"Rapid Spanish, Volume 1","Learning, Earworms",eAudiobook - 2014
236,"Rapid Spanish, Vol. 3","Learning, Earworms",eAudiobook - 2014
237,"Rapid Spanish, Volume 2","Learning, Earworms",eAudiobook - 2014
238,Ideas para divertir a los niños,"Bishop, Laura",Book - 2010 | Spanish
239,Cómo estudiar con éxito,"Olcese Salvatecci, Alfieri",Book - 2002 | Spanish
240,"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 2",Coaching for Better Learning,eBook - 2025 | Spanish
241,"Libro De Matemáticas De Preparación Para Exámenes Para Estudiantes Adultos, Libro 1",Coaching for Better Learning,eBook - 2025 | Spanish
242,Ged Guía De Estudios De Matematicas,Coaching for Better Learning,eBook - 2024 | Spanish
243,Aprende Ingles Para Niños,Pro Language Learning,eAudiobook - 2020 | Spanish
244,Aprende Inglés en tu Coche,Pro Language Learning,eAudiobook - 2020 | Spanish
245,Aprende Inglés Para Principiantes,Pro Language Learning,eAudiobook - 2020 | Spanish
246,La señorita Lulú no sabe ni la u!,"Gutman, Dan",Book - 2018 | Spanish
247,Ayobami y el nombre de los animales,"López Ávila, Pilar",Picture Book - 2017 | Spanish
248,Project Nim,no author,DVD - 2012
249,Ethnic Eating,no author,Streaming Video - 2010
250,Estrella de Sevilla,no author,Streaming Video - 2007 | Spanish
251,David de Valls,no author,Streaming Video - 2007 | Spanish
252,Alejandro de Madrid,no author,Streaming Video - 2007 | Spanish
253,Adrian de Santiago de Compostela,no author,Streaming Video - 2007 | Spanish
254,Anabel de Forcall,no author,Streaming Video - 2007 | Spanish
255,Mireia de Barcelona,no author,Streaming Video - 2007 | Spanish
256,Test-taking Strategies for Students,no author,DVD - 2005
257,Taking Reading Comprehension Tests,no author,DVD - 2005
258,95 libras de esperanza,"Gavalda, Anna",Book - 2004 | Spanish
259,The Address,no author,DVD - 2014
260,"¿Qué veo en el mar? (What Do You See, in the Sea?)","Mitten, Luana K",eBook - 2013 | Spanish
261,The Cat in the Hat Knows A Lot About That,no author,DVD - 2013
262,America Becomes A World Power,no author,Streaming Video - 2006
